Comparator,Coverage,Mean Δ,Median Δ,Win/Tie/Loss,Sign p,Wilcoxon p
AOFT,19/19,2.0157894736842095,1.0999999999999943,16/3/0,3.0517578125e-05,3.0517578125e-05
AdaptFormer,19/19,1.9105263157894736,1.1999999999999957,15/4/0,6.103515625e-05,6.103515625e-05
LoRA,19/19,3.8631578947368426,2.1000000000000014,18/0/1,7.62939453125e-05,1.52587890625e-05
FacT-style,19/19,2.4999999999999987,1.3999999999999915,17/0/2,0.000728607177734375,2.288818359375e-05
Full fine-tuning,19/19,9.157894736842104,4.5,17/0/2,0.000728607177734375,3.814697265625e-05
VPT-D,19/19,4.242105263157893,4.600000000000001,19/0/0,3.814697265625e-06,3.814697265625e-06
NOAH,19/19,1.6052631578947365,1.5,14/0/5,0.063568115234375,0.035228729248046875
Best non-ours per task,19/19,-0.9263157894736835,-0.3999999999999915,3/4/12,0.03515625,0.03387451171875
